X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
1.10E-02;7.11E-38;-7.11E-38;7.11E-38;-7.11E-38;2.18E-11;2.91E-11;1.10E-03;1.10E-03;1.32E-01;1.32E-01;1.32E-01;1.32E-01;3.08E-01;3.08E-01;3.08E-01;3.08E-01;5.62E-03;5.62E-03;5.62E-03;5.62E-03;1.41E-04;1.41E-04;1.41E-04;1.41E-04;-1.54E-01;-1.54E-01;1.54E-01;1.54E-01;1.54E-37;1.54E-37;1.10E-03;1.10E-03
1.20E-02;7.74E-38;-7.74E-38;7.74E-38;-7.74E-38;4.37E-11;2.91E-11;1.20E-03;1.20E-03;1.44E-01;1.44E-01;1.44E-01;1.44E-01;3.35E-01;3.35E-01;3.35E-01;3.35E-01;6.79E-03;6.79E-03;6.79E-03;6.79E-03;1.71E-04;1.71E-04;1.71E-04;1.71E-04;-1.68E-01;-1.68E-01;1.68E-01;1.68E-01;1.68E-37;1.68E-37;1.20E-03;1.20E-03
1.30E-02;8.37E-38;-8.37E-38;8.37E-38;-8.37E-38;-1.46E-11;0;1.30E-03;1.30E-03;1.55E-01;1.55E-01;1.55E-01;1.55E-01;3.63E-01;3.63E-01;3.63E-01;3.63E-01;8.08E-03;8.08E-03;8.08E-03;8.08E-03;2.04E-04;2.04E-04;2.04E-04;2.04E-04;-1.81E-01;-1.81E-01;1.81E-01;1.81E-01;1.81E-37;1.81E-37;1.30E-03;1.30E-03
1.40E-02;8.99E-38;-8.99E-38;8.99E-38;-8.99E-38;0;0;1.40E-03;1.40E-03;1.67E-01;1.67E-01;1.67E-01;1.67E-01;3.89E-01;3.89E-01;3.89E-01;3.89E-01;9.46E-03;9.46E-03;9.46E-03;9.46E-03;2.39E-04;2.39E-04;2.39E-04;2.39E-04;-1.95E-01;-1.95E-01;1.95E-01;1.95E-01;1.95E-37;1.95E-37;1.40E-03;1.40E-03
1.50E-02;9.60E-38;-9.60E-38;9.60E-38;-9.60E-38;1.46E-11;0;1.50E-03;1.50E-03;1.78E-01;1.78E-01;1.78E-01;1.78E-01;4.16E-01;4.16E-01;4.16E-01;4.16E-01;1.10E-02;1.10E-02;1.10E-02;1.10E-02;2.77E-04;2.77E-04;2.77E-04;2.77E-04;-2.08E-01;-2.08E-01;2.08E-01;2.08E-01;2.08E-37;2.08E-37;1.50E-03;1.50E-03
1.60E-02;1.02E-37;-1.02E-37;1.02E-37;-1.02E-37;-5.82E-11;-5.82E-11;1.60E-03;1.60E-03;1.90E-01;1.90E-01;1.90E-01;1.90E-01;4.42E-01;4.42E-01;4.42E-01;4.42E-01;1.26E-02;1.26E-02;1.26E-02;1.26E-02;3.18E-04;3.18E-04;3.18E-04;3.18E-04;-2.21E-01;-2.21E-01;2.21E-01;2.21E-01;2.21E-37;2.21E-37;1.60E-03;1.60E-03
1.70E-02;1.08E-37;-1.08E-37;1.08E-37;-1.08E-37;2.91E-11;5.82E-11;1.70E-03;1.70E-03;2.01E-01;2.01E-01;2.01E-01;2.01E-01;4.69E-01;4.69E-01;4.69E-01;4.69E-01;1.43E-02;1.43E-02;1.43E-02;1.43E-02;3.62E-04;3.62E-04;3.62E-04;3.62E-04;-2.34E-01;-2.34E-01;2.34E-01;2.34E-01;2.34E-37;2.34E-37;1.70E-03;1.70E-03
1.80E-02;1.14E-37;-1.14E-37;1.14E-37;-1.14E-37;7.28E-11;5.82E-11;1.80E-03;1.80E-03;2.12E-01;2.12E-01;2.12E-01;2.12E-01;4.94E-01;4.94E-01;4.94E-01;4.94E-01;1.61E-02;1.61E-02;1.61E-02;1.61E-02;4.08E-04;4.08E-04;4.08E-04;4.08E-04;-2.47E-01;-2.47E-01;2.47E-01;2.47E-01;2.47E-37;2.47E-37;1.80E-03;1.80E-03
1.90E-02;1.20E-37;-1.20E-37;1.20E-37;-1.20E-37;0;0;1.90E-03;1.90E-03;2.23E-01;2.23E-01;2.23E-01;2.23E-01;5.20E-01;5.20E-01;5.20E-01;5.20E-01;1.80E-02;1.80E-02;1.80E-02;1.80E-02;4.58E-04;4.58E-04;4.58E-04;4.58E-04;-2.60E-01;-2.60E-01;2.60E-01;2.60E-01;2.60E-37;2.60E-37;1.90E-03;1.90E-03
2.00E-02;1.26E-37;-1.26E-37;1.26E-37;-1.26E-37;-1.46E-11;0;2.00E-03;2.00E-03;2.34E-01;2.34E-01;2.34E-01;2.34E-01;5.45E-01;5.45E-01;5.45E-01;5.45E-01;2.00E-02;2.00E-02;2.00E-02;2.00E-02;5.10E-04;5.10E-04;5.10E-04;5.10E-04;-2.73E-01;-2.73E-01;2.73E-01;2.73E-01;2.73E-37;2.73E-37;2.00E-03;2.00E-03
