X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
2.27E-01;1.06E-37;-1.06E-37;1.06E-37;-1.06E-37;5.82E-10;4.66E-10;1.73E-02;1.73E-02;1.97E-01;1.97E-01;1.97E-01;1.97E-01;4.60E-01;4.60E-01;4.60E-01;4.60E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.30E-01;-2.30E-01;2.30E-01;2.30E-01;2.30E-37;2.30E-37;1.73E-02;1.73E-02
2.28E-01;1.06E-37;-1.06E-37;1.06E-37;-1.06E-37;-1.16E-10;0;1.72E-02;1.72E-02;1.96E-01;1.96E-01;1.96E-01;1.96E-01;4.57E-01;4.57E-01;4.57E-01;4.57E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.29E-01;-2.29E-01;2.29E-01;2.29E-01;2.29E-37;2.29E-37;1.72E-02;1.72E-02
2.29E-01;1.05E-37;-1.05E-37;1.05E-37;-1.05E-37;2.33E-10;0;1.71E-02;1.71E-02;1.95E-01;1.95E-01;1.95E-01;1.95E-01;4.54E-01;4.54E-01;4.54E-01;4.54E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.27E-01;-2.27E-01;2.27E-01;2.27E-01;2.27E-37;2.27E-37;1.71E-02;1.71E-02
2.30E-01;1.04E-37;-1.04E-37;1.04E-37;-1.04E-37;4.66E-10;4.66E-10;1.70E-02;1.70E-02;1.94E-01;1.94E-01;1.94E-01;1.94E-01;4.52E-01;4.52E-01;4.52E-01;4.52E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.26E-01;-2.26E-01;2.26E-01;2.26E-01;2.26E-37;2.26E-37;1.70E-02;1.70E-02
2.31E-01;1.04E-37;-1.04E-37;1.04E-37;-1.04E-37;1.16E-10;0;1.69E-02;1.69E-02;1.92E-01;1.92E-01;1.92E-01;1.92E-01;4.49E-01;4.49E-01;4.49E-01;4.49E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.25E-01;-2.25E-01;2.25E-01;2.25E-01;2.25E-37;2.25E-37;1.69E-02;1.69E-02
2.32E-01;1.03E-37;-1.03E-37;1.03E-37;-1.03E-37;5.82E-10;4.66E-10;1.68E-02;1.68E-02;1.91E-01;1.91E-01;1.91E-01;1.91E-01;4.46E-01;4.46E-01;4.46E-01;4.46E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.23E-01;-2.23E-01;2.23E-01;2.23E-01;2.23E-37;2.23E-37;1.68E-02;1.68E-02
2.33E-01;1.02E-37;-1.02E-37;1.02E-37;-1.02E-37;2.33E-10;4.66E-10;1.67E-02;1.67E-02;1.90E-01;1.90E-01;1.90E-01;1.90E-01;4.44E-01;4.44E-01;4.44E-01;4.44E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.22E-01;-2.22E-01;2.22E-01;2.22E-01;2.22E-37;2.22E-37;1.67E-02;1.67E-02
2.34E-01;1.02E-37;-1.02E-37;1.02E-37;-1.02E-37;3.49E-10;4.66E-10;1.66E-02;1.66E-02;1.89E-01;1.89E-01;1.89E-01;1.89E-01;4.41E-01;4.41E-01;4.41E-01;4.41E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.21E-01;-2.21E-01;2.21E-01;2.21E-01;2.21E-37;2.21E-37;1.66E-02;1.66E-02
2.35E-01;1.01E-37;-1.01E-37;1.01E-37;-1.01E-37;3.49E-10;4.66E-10;1.65E-02;1.65E-02;1.88E-01;1.88E-01;1.88E-01;1.88E-01;4.38E-01;4.38E-01;4.38E-01;4.38E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.19E-01;-2.19E-01;2.19E-01;2.19E-01;2.19E-37;2.19E-37;1.65E-02;1.65E-02
2.36E-01;1.01E-37;-1.01E-37;1.01E-37;-1.01E-37;4.66E-10;4.66E-10;1.64E-02;1.64E-02;1.87E-01;1.87E-01;1.87E-01;1.87E-01;4.36E-01;4.36E-01;4.36E-01;4.36E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.18E-01;-2.18E-01;2.18E-01;2.18E-01;2.18E-37;2.18E-37;1.64E-02;1.64E-02
2.37E-01;1.00E-37;-1.00E-37;1.00E-37;-1.00E-37;1.16E-10;0;1.63E-02;1.63E-02;1.86E-01;1.86E-01;1.86E-01;1.86E-01;4.33E-01;4.33E-01;4.33E-01;4.33E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.17E-01;-2.17E-01;2.17E-01;2.17E-01;2.17E-37;2.17E-37;1.63E-02;1.63E-02
2.38E-01;9.94E-38;-9.94E-38;9.94E-38;-9.94E-38;5.82E-10;4.66E-10;1.62E-02;1.62E-02;1.85E-01;1.85E-01;1.85E-01;1.85E-01;4.31E-01;4.31E-01;4.31E-01;4.31E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.15E-01;-2.15E-01;2.15E-01;2.15E-01;2.15E-37;2.15E-37;1.62E-02;1.62E-02
2.39E-01;9.88E-38;-9.88E-38;9.88E-38;-9.88E-38;6.98E-10;4.66E-10;1.61E-02;1.61E-02;1.83E-01;1.83E-01;1.83E-01;1.83E-01;4.28E-01;4.28E-01;4.28E-01;4.28E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.14E-01;-2.14E-01;2.14E-01;2.14E-01;2.14E-37;2.14E-37;1.61E-02;1.61E-02
2.40E-01;9.82E-38;-9.82E-38;9.82E-38;-9.82E-38;-1.16E-10;0;1.60E-02;1.60E-02;1.82E-01;1.82E-01;1.82E-01;1.82E-01;4.25E-01;4.25E-01;4.25E-01;4.25E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.13E-01;-2.13E-01;2.13E-01;2.13E-01;2.13E-37;2.13E-37;1.60E-02;1.60E-02
2.41E-01;9.75E-38;-9.75E-38;9.75E-38;-9.75E-38;3.49E-10;4.66E-10;1.59E-02;1.59E-02;1.81E-01;1.81E-01;1.81E-01;1.81E-01;4.23E-01;4.23E-01;4.23E-01;4.23E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.11E-01;-2.11E-01;2.11E-01;2.11E-01;2.11E-37;2.11E-37;1.59E-02;1.59E-02
2.42E-01;9.69E-38;-9.69E-38;9.69E-38;-9.69E-38;0;0;1.58E-02;1.58E-02;1.80E-01;1.80E-01;1.80E-01;1.80E-01;4.20E-01;4.20E-01;4.20E-01;4.20E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.10E-01;-2.10E-01;2.10E-01;2.10E-01;2.10E-37;2.10E-37;1.58E-02;1.58E-02
2.43E-01;9.63E-38;-9.63E-38;9.63E-38;-9.63E-38;1.16E-10;0;1.57E-02;1.57E-02;1.79E-01;1.79E-01;1.79E-01;1.79E-01;4.17E-01;4.17E-01;4.17E-01;4.17E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.09E-01;-2.09E-01;2.09E-01;2.09E-01;2.09E-37;2.09E-37;1.57E-02;1.57E-02
2.44E-01;9.57E-38;-9.57E-38;9.57E-38;-9.57E-38;5.82E-10;4.66E-10;1.56E-02;1.56E-02;1.78E-01;1.78E-01;1.78E-01;1.78E-01;4.15E-01;4.15E-01;4.15E-01;4.15E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.07E-01;-2.07E-01;2.07E-01;2.07E-01;2.07E-37;2.07E-37;1.56E-02;1.56E-02
2.45E-01;9.51E-38;-9.51E-38;9.51E-38;-9.51E-38;2.33E-10;4.66E-10;1.55E-02;1.55E-02;1.77E-01;1.77E-01;1.77E-01;1.77E-01;4.12E-01;4.12E-01;4.12E-01;4.12E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.06E-01;-2.06E-01;2.06E-01;2.06E-01;2.06E-37;2.06E-37;1.55E-02;1.55E-02
2.46E-01;9.45E-38;-9.45E-38;9.45E-38;-9.45E-38;3.49E-10;4.66E-10;1.54E-02;1.54E-02;1.75E-01;1.75E-01;1.75E-01;1.75E-01;4.09E-01;4.09E-01;4.09E-01;4.09E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.05E-01;-2.05E-01;2.05E-01;2.05E-01;2.05E-37;2.05E-37;1.54E-02;1.54E-02
2.47E-01;9.39E-38;-9.39E-38;9.39E-38;-9.39E-38;3.49E-10;4.66E-10;1.53E-02;1.53E-02;1.74E-01;1.74E-01;1.74E-01;1.74E-01;4.07E-01;4.07E-01;4.07E-01;4.07E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.03E-01;-2.03E-01;2.03E-01;2.03E-01;2.03E-37;2.03E-37;1.53E-02;1.53E-02
2.48E-01;9.33E-38;-9.33E-38;9.33E-38;-9.33E-38;0;0;1.52E-02;1.52E-02;1.73E-01;1.73E-01;1.73E-01;1.73E-01;4.04E-01;4.04E-01;4.04E-01;4.04E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.02E-01;-2.02E-01;2.02E-01;2.02E-01;2.02E-37;2.02E-37;1.52E-02;1.52E-02
2.49E-01;9.26E-38;-9.26E-38;9.26E-38;-9.26E-38;1.16E-10;0;1.51E-02;1.51E-02;1.72E-01;1.72E-01;1.72E-01;1.72E-01;4.01E-01;4.01E-01;4.01E-01;4.01E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-2.01E-01;-2.01E-01;2.01E-01;2.01E-01;2.01E-37;2.01E-37;1.51E-02;1.51E-02
2.50E-01;9.20E-38;-9.20E-38;9.20E-38;-9.20E-38;5.82E-10;4.66E-10;1.50E-02;1.50E-02;1.71E-01;1.71E-01;1.71E-01;1.71E-01;3.99E-01;3.99E-01;3.99E-01;3.99E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.99E-01;-1.99E-01;1.99E-01;1.99E-01;1.99E-37;1.99E-37;1.50E-02;1.50E-02
2.51E-01;9.14E-38;-9.14E-38;9.14E-38;-9.14E-38;2.33E-10;4.66E-10;1.49E-02;1.49E-02;1.70E-01;1.70E-01;1.70E-01;1.70E-01;3.96E-01;3.96E-01;3.96E-01;3.96E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.98E-01;-1.98E-01;1.98E-01;1.98E-01;1.98E-37;1.98E-37;1.49E-02;1.49E-02
2.52E-01;9.08E-38;-9.08E-38;9.08E-38;-9.08E-38;2.33E-10;4.66E-10;1.48E-02;1.48E-02;1.69E-01;1.69E-01;1.69E-01;1.69E-01;3.93E-01;3.93E-01;3.93E-01;3.93E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.97E-01;-1.97E-01;1.97E-01;1.97E-01;1.97E-37;1.97E-37;1.48E-02;1.48E-02
2.53E-01;9.02E-38;-9.02E-38;9.02E-38;-9.02E-38;3.49E-10;4.66E-10;1.47E-02;1.47E-02;1.67E-01;1.67E-01;1.67E-01;1.67E-01;3.91E-01;3.91E-01;3.91E-01;3.91E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.95E-01;-1.95E-01;1.95E-01;1.95E-01;1.95E-37;1.95E-37;1.47E-02;1.47E-02
2.54E-01;8.96E-38;-8.96E-38;8.96E-38;-8.96E-38;0;0;1.46E-02;1.46E-02;1.66E-01;1.66E-01;1.66E-01;1.66E-01;3.88E-01;3.88E-01;3.88E-01;3.88E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.94E-01;-1.94E-01;1.94E-01;1.94E-01;1.94E-37;1.94E-37;1.46E-02;1.46E-02
2.55E-01;8.90E-38;-8.90E-38;8.90E-38;-8.90E-38;4.66E-10;4.66E-10;1.45E-02;1.45E-02;1.65E-01;1.65E-01;1.65E-01;1.65E-01;3.85E-01;3.85E-01;3.85E-01;3.85E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.93E-01;-1.93E-01;1.93E-01;1.93E-01;1.93E-37;1.93E-37;1.45E-02;1.45E-02
2.56E-01;8.83E-38;-8.83E-38;8.83E-38;-8.83E-38;5.82E-10;4.66E-10;1.44E-02;1.44E-02;1.64E-01;1.64E-01;1.64E-01;1.64E-01;3.83E-01;3.83E-01;3.83E-01;3.83E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.91E-01;-1.91E-01;1.91E-01;1.91E-01;1.91E-37;1.91E-37;1.44E-02;1.44E-02
2.57E-01;8.77E-38;-8.77E-38;8.77E-38;-8.77E-38;2.33E-10;4.66E-10;1.43E-02;1.43E-02;1.63E-01;1.63E-01;1.63E-01;1.63E-01;3.80E-01;3.80E-01;3.80E-01;3.80E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.90E-01;-1.90E-01;1.90E-01;1.90E-01;1.90E-37;1.90E-37;1.43E-02;1.43E-02
2.58E-01;8.71E-38;-8.71E-38;8.71E-38;-8.71E-38;6.98E-10;4.66E-10;1.42E-02;1.42E-02;1.62E-01;1.62E-01;1.62E-01;1.62E-01;3.77E-01;3.77E-01;3.77E-01;3.77E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.89E-01;-1.89E-01;1.89E-01;1.89E-01;1.89E-37;1.89E-37;1.42E-02;1.42E-02
2.59E-01;8.65E-38;-8.65E-38;8.65E-38;-8.65E-38;3.49E-10;4.66E-10;1.41E-02;1.41E-02;1.61E-01;1.61E-01;1.61E-01;1.61E-01;3.75E-01;3.75E-01;3.75E-01;3.75E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.87E-01;-1.87E-01;1.87E-01;1.87E-01;1.87E-37;1.87E-37;1.41E-02;1.41E-02
2.60E-01;8.59E-38;-8.59E-38;8.59E-38;-8.59E-38;0;0;1.40E-02;1.40E-02;1.59E-01;1.59E-01;1.59E-01;1.59E-01;3.72E-01;3.72E-01;3.72E-01;3.72E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.86E-01;-1.86E-01;1.86E-01;1.86E-01;1.86E-37;1.86E-37;1.40E-02;1.40E-02
2.61E-01;8.53E-38;-8.53E-38;8.53E-38;-8.53E-38;4.66E-10;4.66E-10;1.39E-02;1.39E-02;1.58E-01;1.58E-01;1.58E-01;1.58E-01;3.69E-01;3.69E-01;3.69E-01;3.69E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.85E-01;-1.85E-01;1.85E-01;1.85E-01;1.85E-37;1.85E-37;1.39E-02;1.39E-02
2.62E-01;8.47E-38;-8.47E-38;8.47E-38;-8.47E-38;5.82E-10;4.66E-10;1.38E-02;1.38E-02;1.57E-01;1.57E-01;1.57E-01;1.57E-01;3.67E-01;3.67E-01;3.67E-01;3.67E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.83E-01;-1.83E-01;1.83E-01;1.83E-01;1.83E-37;1.83E-37;1.38E-02;1.38E-02
2.63E-01;8.41E-38;-8.41E-38;8.41E-38;-8.41E-38;2.33E-10;4.66E-10;1.37E-02;1.37E-02;1.56E-01;1.56E-01;1.56E-01;1.56E-01;3.64E-01;3.64E-01;3.64E-01;3.64E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.82E-01;-1.82E-01;1.82E-01;1.82E-01;1.82E-37;1.82E-37;1.37E-02;1.37E-02
2.64E-01;8.34E-38;-8.34E-38;8.34E-38;-8.34E-38;2.33E-10;4.66E-10;1.36E-02;1.36E-02;1.55E-01;1.55E-01;1.55E-01;1.55E-01;3.61E-01;3.61E-01;3.61E-01;3.61E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.81E-01;-1.81E-01;1.81E-01;1.81E-01;1.81E-37;1.81E-37;1.36E-02;1.36E-02
2.65E-01;8.28E-38;-8.28E-38;8.28E-38;-8.28E-38;-1.16E-10;0;1.35E-02;1.35E-02;1.54E-01;1.54E-01;1.54E-01;1.54E-01;3.59E-01;3.59E-01;3.59E-01;3.59E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.79E-01;-1.79E-01;1.79E-01;1.79E-01;1.79E-37;1.79E-37;1.35E-02;1.35E-02
2.66E-01;8.22E-38;-8.22E-38;8.22E-38;-8.22E-38;0;0;1.34E-02;1.34E-02;1.53E-01;1.53E-01;1.53E-01;1.53E-01;3.56E-01;3.56E-01;3.56E-01;3.56E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.78E-01;-1.78E-01;1.78E-01;1.78E-01;1.78E-37;1.78E-37;1.34E-02;1.34E-02
2.67E-01;8.16E-38;-8.16E-38;8.16E-38;-8.16E-38;0;0;1.33E-02;1.33E-02;1.51E-01;1.51E-01;1.51E-01;1.51E-01;3.53E-01;3.53E-01;3.53E-01;3.53E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.77E-01;-1.77E-01;1.77E-01;1.77E-01;1.77E-37;1.77E-37;1.33E-02;1.33E-02
2.68E-01;8.10E-38;-8.10E-38;8.10E-38;-8.10E-38;1.16E-10;0;1.32E-02;1.32E-02;1.50E-01;1.50E-01;1.50E-01;1.50E-01;3.51E-01;3.51E-01;3.51E-01;3.51E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.75E-01;-1.75E-01;1.75E-01;1.75E-01;1.75E-37;1.75E-37;1.32E-02;1.32E-02
2.69E-01;8.04E-38;-8.04E-38;8.04E-38;-8.04E-38;-2.33E-10;-4.66E-10;1.31E-02;1.31E-02;1.49E-01;1.49E-01;1.49E-01;1.49E-01;3.48E-01;3.48E-01;3.48E-01;3.48E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.74E-01;-1.74E-01;1.74E-01;1.74E-01;1.74E-37;1.74E-37;1.31E-02;1.31E-02
2.70E-01;7.98E-38;-7.98E-38;7.98E-38;-7.98E-38;0;0;1.30E-02;1.30E-02;1.48E-01;1.48E-01;1.48E-01;1.48E-01;3.45E-01;3.45E-01;3.45E-01;3.45E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.73E-01;-1.73E-01;1.73E-01;1.73E-01;1.73E-37;1.73E-37;1.30E-02;1.30E-02
2.71E-01;7.91E-38;-7.91E-38;7.91E-38;-7.91E-38;-1.16E-10;0;1.29E-02;1.29E-02;1.47E-01;1.47E-01;1.47E-01;1.47E-01;3.43E-01;3.43E-01;3.43E-01;3.43E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.71E-01;-1.71E-01;1.71E-01;1.71E-01;1.71E-37;1.71E-37;1.29E-02;1.29E-02
2.72E-01;7.85E-38;-7.85E-38;7.85E-38;-7.85E-38;-4.66E-10;-4.66E-10;1.28E-02;1.28E-02;1.46E-01;1.46E-01;1.46E-01;1.46E-01;3.40E-01;3.40E-01;3.40E-01;3.40E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.70E-01;-1.70E-01;1.70E-01;1.70E-01;1.70E-37;1.70E-37;1.28E-02;1.28E-02
2.73E-01;7.79E-38;-7.79E-38;7.79E-38;-7.79E-38;0;0;1.27E-02;1.27E-02;1.45E-01;1.45E-01;1.45E-01;1.45E-01;3.38E-01;3.38E-01;3.38E-01;3.38E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.69E-01;-1.69E-01;1.69E-01;1.69E-01;1.69E-37;1.69E-37;1.27E-02;1.27E-02
2.74E-01;7.73E-38;-7.73E-38;7.73E-38;-7.73E-38;1.16E-10;0;1.26E-02;1.26E-02;1.44E-01;1.44E-01;1.44E-01;1.44E-01;3.35E-01;3.35E-01;3.35E-01;3.35E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.67E-01;-1.67E-01;1.67E-01;1.67E-01;1.67E-37;1.67E-37;1.26E-02;1.26E-02
2.75E-01;7.67E-38;-7.67E-38;7.67E-38;-7.67E-38;1.16E-10;0;1.25E-02;1.25E-02;1.42E-01;1.42E-01;1.42E-01;1.42E-01;3.32E-01;3.32E-01;3.32E-01;3.32E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.66E-01;-1.66E-01;1.66E-01;1.66E-01;1.66E-37;1.66E-37;1.25E-02;1.25E-02
2.76E-01;7.61E-38;-7.61E-38;7.61E-38;-7.61E-38;0;0;1.24E-02;1.24E-02;1.41E-01;1.41E-01;1.41E-01;1.41E-01;3.30E-01;3.30E-01;3.30E-01;3.30E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.65E-01;-1.65E-01;1.65E-01;1.65E-01;1.65E-37;1.65E-37;1.24E-02;1.24E-02
2.77E-01;7.55E-38;-7.55E-38;7.55E-38;-7.55E-38;-1.16E-10;0;1.23E-02;1.23E-02;1.40E-01;1.40E-01;1.40E-01;1.40E-01;3.27E-01;3.27E-01;3.27E-01;3.27E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.63E-01;-1.63E-01;1.63E-01;1.63E-01;1.63E-37;1.63E-37;1.23E-02;1.23E-02
2.78E-01;7.48E-38;-7.48E-38;7.48E-38;-7.48E-38;-1.16E-10;0;1.22E-02;1.22E-02;1.39E-01;1.39E-01;1.39E-01;1.39E-01;3.24E-01;3.24E-01;3.24E-01;3.24E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.62E-01;-1.62E-01;1.62E-01;1.62E-01;1.62E-37;1.62E-37;1.22E-02;1.22E-02
2.79E-01;7.42E-38;-7.42E-38;7.42E-38;-7.42E-38;0;0;1.21E-02;1.21E-02;1.38E-01;1.38E-01;1.38E-01;1.38E-01;3.22E-01;3.22E-01;3.22E-01;3.22E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.61E-01;-1.61E-01;1.61E-01;1.61E-01;1.61E-37;1.61E-37;1.21E-02;1.21E-02
2.80E-01;7.36E-38;-7.36E-38;7.36E-38;-7.36E-38;1.16E-10;0;1.20E-02;1.20E-02;1.37E-01;1.37E-01;1.37E-01;1.37E-01;3.19E-01;3.19E-01;3.19E-01;3.19E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.59E-01;-1.59E-01;1.59E-01;1.59E-01;1.59E-37;1.59E-37;1.20E-02;1.20E-02
2.81E-01;7.30E-38;-7.30E-38;7.30E-38;-7.30E-38;1.16E-10;0;1.19E-02;1.19E-02;1.36E-01;1.36E-01;1.36E-01;1.36E-01;3.16E-01;3.16E-01;3.16E-01;3.16E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.58E-01;-1.58E-01;1.58E-01;1.58E-01;1.58E-37;1.58E-37;1.19E-02;1.19E-02
2.82E-01;7.24E-38;-7.24E-38;7.24E-38;-7.24E-38;0;0;1.18E-02;1.18E-02;1.34E-01;1.34E-01;1.34E-01;1.34E-01;3.14E-01;3.14E-01;3.14E-01;3.14E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.57E-01;-1.57E-01;1.57E-01;1.57E-01;1.57E-37;1.57E-37;1.18E-02;1.18E-02
2.83E-01;7.18E-38;-7.18E-38;7.18E-38;-7.18E-38;-1.16E-10;0;1.17E-02;1.17E-02;1.33E-01;1.33E-01;1.33E-01;1.33E-01;3.11E-01;3.11E-01;3.11E-01;3.11E-01;6.93E-01;6.93E-01;6.93E-01;6.93E-01;5.65E-02;5.65E-02;5.65E-02;5.65E-02;-1.55E-01;-1.55E-01;1.55E-01;1.55E-01;1.55E-37;1.55E-37;1.17E-02;1.17E-02
